index,timestamp,x,y,z,yaw,velocity
67,1.75279e+09,-49.5785,43.4845,0.828235,0.468043,1.45721
68,1.75279e+09,-48.9497,43.6729,0.825595,0.399324,1.40108
69,1.75279e+09,-48.2534,43.9263,0.824187,0.384271,1.35857
70,1.75279e+09,-47.593,44.1842,0.82507,0.378332,1.44361
71,1.75279e+09,-47.0016,44.41,0.826506,0.373044,1.53537
72,1.75279e+09,-46.2301,44.6874,0.826313,0.358259,1.61348
73,1.75279e+09,-45.346,44.9597,0.82659,0.324452,1.68428
74,1.75279e+09,-44.627,45.1849,0.825976,0.31693,1.71539
75,1.75279e+09,-43.7458,45.4658,0.825138,0.312409,1.72733
76,1.75279e+09,-43.0095,45.6969,0.82556,0.30876,1.75752
77,1.75279e+09,-42.077,45.9855,0.824347,0.303848,1.68928
78,1.75279e+09,-41.2723,46.2302,0.824013,0.299612,1.66254
79,1.75279e+09,-40.5066,46.4599,0.822868,0.295497,1.54211
80,1.75279e+09,-39.7323,46.6883,0.823808,0.291503,1.54558
81,1.75279e+09,-38.9755,46.9085,0.824931,0.287731,1.59482
82,1.75279e+09,-38.3113,47.0993,0.824102,0.284286,1.55486
83,1.75279e+09,-37.61,47.298,0.824823,0.280784,1.58977
84,1.75279e+09,-36.7512,47.5377,0.826561,0.276548,1.71447
85,1.75279e+09,-35.8814,47.7765,0.826063,0.272131,1.75212
86,1.75279e+09,-35.0582,47.9987,0.82586,0.268093,1.79471
87,1.75279e+09,-34.1061,48.2509,0.826134,0.262957,1.83553
88,1.75279e+09,-33.182,48.491,0.825126,0.258155,1.8189
89,1.75279e+09,-32.3695,48.6981,0.825546,0.254016,1.85544
90,1.75279e+09,-31.4722,48.9228,0.826575,0.249618,1.92281
91,1.75279e+09,-30.4981,49.1619,0.82557,0.244702,1.92794
92,1.75279e+09,-29.5112,49.399,0.826251,0.239828,2.01248
93,1.75279e+09,-28.4863,49.64,0.826228,0.234756,2.02094
94,1.75279e+09,-27.588,49.8467,0.825173,0.230253,1.9842
95,1.75279e+09,-26.6652,50.0545,0.825241,0.225629,1.97826
96,1.75279e+09,-25.5816,50.2929,0.824996,0.220224,1.9534
97,1.75279e+09,-24.7218,50.4777,0.824437,0.215954,1.88489
98,1.75279e+09,-23.7226,50.6874,0.82509,0.210823,1.90564
99,1.75279e+09,-22.9239,50.8207,0.826579,0.186817,1.9515
100,1.75279e+09,-21.9043,50.9636,0.826644,0.160413,2.00362
101,1.75279e+09,-20.8974,51.0832,0.826938,0.136016,2.04714
102,1.75279e+09,-19.8699,51.179,0.826377,0.113427,2.08575
103,1.75279e+09,-18.8624,51.275,0.826552,0.10293,2.12844
104,1.75279e+09,-17.6638,51.3638,0.826541,0.0861778,2.16776
105,1.75279e+09,-16.6611,51.4409,0.826619,0.0809794,2.20255
106,1.75279e+09,-15.4654,51.5156,0.826547,0.0679078,2.23164
107,1.75279e+09,-14.433,51.5778,0.826621,0.0640293,2.26461
108,1.75279e+09,-13.1596,51.6382,0.827304,0.0498481,2.28793
109,1.75279e+09,-12.0102,51.6263,0.827337,0.0107745,2.30971
110,1.75279e+09,-10.8503,51.567,0.827185,-0.0288673,2.33382
111,1.75279e+09,-9.73344,51.5755,0.828015,7.6324e-05,2.33472
112,1.75279e+09,-8.6102,51.6469,0.827574,0.0393551,2.35417
113,1.75279e+09,-7.43817,51.6437,0.82804,0.00473324,2.35124
114,1.75279e+09,-6.35485,51.5739,0.827726,-0.0372454,2.36813
115,1.75279e+09,-5.08142,51.5381,0.826486,-0.0285518,2.36855
116,1.75279e+09,-3.94023,51.5153,0.826537,-0.0238994,2.38629
117,1.75279e+09,-2.64667,51.4949,0.826623,-0.0185829,2.40429
118,1.75279e+09,-1.53738,51.4828,0.826642,-0.0139624,2.41819
119,1.75279e+09,-0.17869,51.4751,0.826648,-0.008204,2.43352
120,1.75279e+09,0.894602,51.4746,0.82665,-0.00369583,2.44443
121,1.75279e+09,2.16891,51.4801,0.826651,0.00152122,2.45615
122,1.75279e+09,3.49829,51.4929,0.826651,0.00694626,2.46712
123,1.75279e+09,4.68462,51.5104,0.826652,0.0118286,2.47594
124,1.75279e+09,5.92455,51.535,0.826657,0.0169848,2.48429
125,1.75279e+09,7.11849,51.5647,0.826662,0.0221051,2.49159
126,1.75279e+09,8.46544,51.6055,0.826662,0.0276924,2.49901
127,1.75279e+09,9.56559,51.6445,0.826669,0.0322957,2.5045
128,1.75279e+09,10.9688,51.7014,0.826667,0.0380748,2.51083
129,1.75279e+09,11.973,51.7472,0.826669,0.0422109,2.51493
130,1.75279e+09,13.3308,51.8157,0.826668,0.0478063,2.51999
131,1.75279e+09,14.5899,51.886,0.826668,0.0529971,2.52422
132,1.75279e+09,15.8507,51.963,0.826669,0.0581965,2.52806
133,1.75279e+09,17.1129,52.0466,0.826669,0.063404,2.53153
134,1.75279e+09,18.5279,52.1482,0.826667,0.0692452,2.53505
135,1.75279e+09,19.7418,52.2421,0.826668,0.0742633,2.53776
136,1.75279e+09,21.0071,52.3464,0.826668,0.0794937,2.54033
137,1.75279e+09,22.2223,52.4528,0.826668,0.0845196,2.54257
138,1.75279e+09,23.4381,52.5655,0.826668,0.0895495,2.54461
139,1.75279e+09,24.8569,52.7048,0.826668,0.0954203,2.54676
140,1.75279e+09,26.0225,52.8255,0.826667,0.100247,2.54836
141,1.75279e+09,27.3404,52.9688,0.826668,0.105706,2.54999
142,1.75279e+09,28.6074,53.0902,0.827301,0.0944738,2.54103
143,1.75279e+09,29.876,53.1719,0.826684,0.0745092,2.54366
144,1.75279e+09,31.147,53.23,0.826614,0.0548488,2.54569
145,1.75279e+09,32.3689,53.2628,0.826637,0.0359767,2.54737
146,1.75279e+09,33.592,53.2726,0.826643,0.0170747,2.54891
147,1.75279e+09,34.9687,53.2559,0.826645,-0.00436942,2.55052
148,1.75279e+09,36.2946,53.2118,0.826645,-0.0248911,2.55188
149,1.75279e+09,37.4671,53.1503,0.826657,-0.0429215,2.55291
150,1.75279e+09,38.6387,53.0675,0.826644,-0.0610788,2.55389
151,1.75279e+09,40.0583,53.0658,0.828376,-0.0110218,2.53373
152,1.75279e+09,41.2158,53.0753,0.826663,-0.00671092,2.50978
153,1.75279e+09,42.1704,53.0624,0.826365,-0.00926321,2.51424
154,1.75279e+09,43.6806,53.0404,0.826605,-0.0129358,2.51994
155,1.75279e+09,45.1434,53.0138,0.826653,-0.0164961,2.52484
156,1.75279e+09,46.2043,52.9913,0.826661,-0.0190777,2.52806
157,1.75279e+09,47.5702,52.9584,0.826664,-0.0224029,2.53182
158,1.75279e+09,48.8364,52.9237,0.826665,-0.025487,2.53497
159,1.75279e+09,50.1041,52.8851,0.826665,-0.0285749,2.53782
160,1.75279e+09,51.3222,52.8443,0.826666,-0.0315427,2.5403
161,1.75279e+09,52.6937,52.7941,0.826666,-0.0349186,2.54284
162,1.75279e+09,53.9647,52.7433,0.826665,-0.0380167,2.54495
163,1.75279e+09,55.2874,52.6863,0.82667,-0.0413358,2.54695
164,1.75279e+09,56.4581,52.6322,0.82667,-0.0443443,2.54856
165,1.75279e+09,57.7313,52.5693,0.826671,-0.047451,2.55014
166,1.75279e+09,59.005,52.5025,0.826672,-0.0505611,2.55157
167,1.75279e+09,60.2791,52.4317,0.826673,-0.0536764,2.55287
168,1.75279e+09,61.6047,52.3538,0.826673,-0.05691,2.55409
169,1.75279e+09,62.9305,52.2716,0.826671,-0.0601582,2.5552
170,1.75279e+09,64.0527,52.1986,0.826671,-0.0628982,2.55605
171,1.75279e+09,65.328,52.1119,0.826672,-0.0660116,2.55692
172,1.75279e+09,66.6527,52.0401,0.826535,-0.0573295,2.5497
173,1.75279e+09,67.9769,51.9674,0.826631,-0.0561237,2.55125
174,1.75279e+09,69.2511,51.8986,0.826662,-0.0549876,2.55259
175,1.75279e+09,70.5769,51.8286,0.826669,-0.0538046,2.55386
176,1.75279e+09,71.6993,51.7705,0.826671,-0.0528031,2.55483
177,1.75279e+09,73.1284,51.701,0.826991,-0.049204,2.55038
178,1.75279e+09,74.2972,51.7069,0.827126,-0.0145277,2.54221
179,1.75279e+09,75.5177,51.7356,0.826781,0.010335,2.54421
180,1.75279e+09,76.8872,51.7593,0.828172,0.00643906,2.52706
181,1.75279e+09,78.1983,51.6814,0.827817,-0.0382277,2.51461
182,1.75279e+09,79.4532,51.6961,0.827881,0.00118456,2.51088
183,1.75279e+09,80.7069,51.7761,0.827605,0.043504,2.51442
184,1.75279e+09,81.9085,51.857,0.827278,0.0512558,2.50555
185,1.75279e+09,83.2126,51.885,0.826829,0.0309578,2.51135
186,1.75279e+09,84.369,51.8876,0.82658,0.0128372,2.51624
187,1.75279e+09,85.7289,51.8652,0.82663,-0.00825494,2.52109
188,1.75279e+09,86.8888,51.8235,0.826642,-0.0262581,2.52483
189,1.75279e+09,88.1503,51.7544,0.826645,-0.0458561,2.52852
190,1.75279e+09,89.3614,51.6647,0.826665,-0.0647001,2.53166
191,1.75279e+09,90.7234,51.5636,0.826991,-0.0680887,2.52785
